date,trip_count_diff1,trip_count_hp_cycle,trip_count_hp_trend,avg_fare_diff1,avg_fare_hp_cycle,avg_fare_hp_trend,total_revenue_diff1,total_revenue_hp_cycle,total_revenue_hp_trend
2023-04-15,-5032.0,7079.065932603713,110706.93406739629,-0.25841991230741,-0.8223793906636345,19.791811666146288,-286832.23999999976,2718.048312562518,3195711.0316874376
2023-04-16,-20230.0,-13262.947918820311,110818.94791882031,1.82645377970616,0.9848729968040679,19.811013058384745,-299582.6000000001,-302667.1963519873,3201513.6763519873
2023-04-17,-666.0,-14039.373112199668,110929.37311219967,-0.0834869427933107,0.882410038860229,19.829989073535273,38495.79000000004,-269899.40053761424,3207241.6705376143
2023-04-18,17153.0,3005.1805934766307,111037.81940652337,-0.972093701278645,-0.10840823733287053,19.848713648449728,372176.3300000001,96639.37491810927,3212879.225081891
2023-04-19,2599.0,5498.211767715809,111143.78823228419,-0.050676546728386285,-0.1775386643109229,19.867167528699394,70810.33000000007,161920.46173471306,3218408.468265287
2023-04-20,8059.0,13454.1957919032,111246.8042080968,0.7339365440685555,0.5382347850847715,19.885330623372255,354423.7799999998,510940.4359575375,3223812.2740424625
2023-04-21,-8811.0,4543.565622950642,111346.43437704936,-0.8712114521191197,-0.35082751532127077,19.903181471659178,-383766.56000000006,121911.38424564525,3229074.7657543547
2023-04-22,954.0,5401.650404530854,111442.34959546915,-0.9278160254214747,-1.2961648348807877,19.92070276579722,-227733.95999999996,-110931.81918353913,3234184.009183539
2023-04-23,-19783.0,-14473.255778060135,111534.25577806013,3.075892107925121,1.762555547820547,19.937874491021006,-121658.81000000006,-237535.63078685105,3239129.010786851
2023-04-24,1882.0,-12678.900518927563,111621.90051892756,-0.7739325604954352,0.9718308470528463,19.95466663129327,32075.790000000037,-210228.7510657315,3243897.9210657314
2023-04-25,12950.0,188.08026417969086,111704.91973582031,-0.7862295438015074,0.16920516400221075,19.9710627705424,271022.5500000003,56214.662315038964,3248477.0576849612
2023-04-26,7217.0,7327.148484535253,111782.85151546475,-0.23160434626487003,-0.0783904031118432,19.987053991391583,184592.60999999987,236433.21382610314,3252851.116173897
2023-04-27,4172.0,11426.764604176162,111855.23539582384,0.6525006530531421,0.5585315592734581,20.002632682059424,221172.94999999972,453452.05418299325,3257005.2258170065
2023-04-28,-1229.0,10131.332548499937,111921.66745150006,-0.8250471446617667,-0.28167352922917743,20.017790625900293,-161249.70999999996,288281.22977088904,3260926.340229111
2023-04-29,-12617.0,-2545.831926575862,111981.83192657586,-0.43742361372217786,-0.7338304329767205,20.03252391592566,-542868.94,-258266.28188347118,3264604.911883471
2023-04-30,-16187.0,-18786.491238995935,112035.49123899594,2.104142257916916,1.3560092691257317,20.046826471740122,-171705.89000000013,-433400.877645554,3268033.617645554
2023-05-01,5477.0,-13356.388162940057,112082.38816294006,0.1793491952198778,1.5214983854093163,20.060686550676415,268303.7000000002,-168266.70158543997,3271203.14158544
2023-05-02,15314.0,1917.879484906065,112122.12051509393,-1.8441061917854853,-0.3360241288015118,20.074102873101758,204876.8999999999,33712.51636936236,3274100.8236306375
2023-05-03,4535.0,6420.816946407373,112154.18305359263,-0.0798647025545165,-0.42887185759432,20.08708589934005,132862.33000000007,163962.96464552544,3276712.7053544745
2023-05-04,7065.0,13461.914664975993,112178.085335024,0.2942942358728651,-0.1471352193178177,20.099643496936412,247084.43999999994,408735.0215422781,3279025.0884577218
2023-05-05,-5092.0,8354.61354068348,112193.38645931652,-0.3444516528716086,-0.5037235994925453,20.11178022423953,-203530.08000000007,203204.4902125178,3281025.539787482
2023-05-06,-131.0,8217.250600803018,112199.74939919698,-0.9096391255566729,-1.425082005105157,20.12349950429547,-256638.1799999997,-55112.9300104673,3282704.7800104674
2023-05-07,-20104.0,-11883.901592002905,112196.9015920029,2.5873278179669867,1.1509444437631622,20.134800873394138,-183818.55000000028,-240281.79772927053,3284055.0977292703
2023-05-08,-2493.0,-14364.6338797832,112184.6338797832,-0.5914467074660301,0.5486257378689565,20.145672871822313,-72674.25,-313969.3062923956,3285068.3562923954
2023-05-09,17044.0,2701.3545921847253,112162.64540781527,-0.962257935502663,-0.4240722464223303,20.156112920610937,371778.86000000034,57143.344977872446,3285734.5650221277
2023-05-10,5008.0,7741.475516847917,112130.52448315208,0.8983237979149692,0.4642417980893363,20.16612267401424,264073.48,320910.0793619184,3286041.3106380817
2023-05-11,9121.0,16905.119743368006,112087.880256632,-0.3986229047317025,0.05604105324782438,20.17570051412405,224926.56000000006,545901.3292192565,3285976.6207807437
2023-05-12,-4223.0,12735.61838729927,112034.38161270073,-0.03089785494099928,0.01599530728605103,20.184848405144823,-144859.36000000034,401487.59075138206,3285530.999248618
