date,trip_count,avg_fare,total_revenue
2024-01-26,104383,18.295572363315866,2843287.64
2024-01-27,109018,17.267808802216148,2742056.42
2024-01-28,91457,18.581852455252196,2461560.97
2024-01-29,83464,19.009436523531104,2362514.49
2024-01-30,100066,17.75538514580377,2668331.51
2024-01-31,100911,17.940002675625056,2712180.94
2024-02-01,108651,18.54322021886591,3006188.33
2024-02-02,104146,17.900420947515986,2791207.51
2024-02-03,109188,16.910508480785435,2697956.05
2024-02-04,86889,19.06472602976211,2404378.72
2024-02-05,87304,18.71197780170439,2440420.72
2024-02-06,100889,18.11274965556205,2731483.21
2024-02-07,101712,18.875923391536887,2857579.29
2024-02-08,112642,18.833051437296923,3163290.04
2024-02-09,109009,18.6259364823088,3018912.19
2024-02-10,110089,17.531110919347075,2802235.2
2024-02-11,95233,19.004898197053542,2606545.51
2024-02-12,90806,18.882607096447373,2549404.71
2024-02-13,68090,16.70639095315024,1733741.86
2024-02-14,120136,18.04457997602717,3212522.41
2024-02-15,121237,18.3477717198545,3284474.19
2024-02-16,104223,19.12735854849697,2933281.72
2024-02-17,104019,17.503706726655707,2623572.81
2024-02-18,92202,18.704361402138783,2470793.22
2024-02-19,74953,20.508353234693743,2222137.14
2024-02-20,95853,19.015347980762208,2703035.53
2024-02-21,102238,18.233476104775132,2783934.26
2024-02-22,114119,18.795500836845747,3178846.29
2024-02-23,101031,18.636250358800766,2792447.97
2024-02-24,116130,17.577208301041935,2940249.5
2024-02-25,94257,19.435993082741863,2622464.72
2024-02-26,85067,20.609109055215303,2559560.82
2024-02-27,116830,18.28259137207909,3148878.03
2024-02-28,110964,18.90388540427526,3092743.57
2024-02-29,128035,18.931990705666422,3563030.96
2024-03-01,115815,18.595111686741784,3179642.5
2024-03-02,120399,17.869496839674746,3069366.81
2024-03-03,95455,20.031776124875595,2726491.88
2024-03-04,92825,19.543534823592783,2682664.77
2024-03-05,111034,18.725770754903902,3063123.37
2024-03-06,130994,18.73243087469655,3576484.51
2024-03-07,120484,19.011619634142292,3377971.32
2024-03-08,117719,18.88982313815102,3270377.66
2024-03-09,138034,17.772108828259704,3463394.0
2024-03-10,102548,19.949834321488474,2897729.29
2024-03-11,96834,19.698560526261435,2804651.8
2024-03-12,110592,19.513961317274305,3159238.3
2024-03-13,117989,19.26154048258736,3348187.15
2024-03-14,135058,19.762009803195664,3869946.85
2024-03-15,126571,19.264183975792243,3552185.25
2024-03-16,128892,18.885324690438505,3433979.39
2024-03-17,101433,21.034212435795055,3013112.32
2024-03-18,93593,20.310391482268972,2793030.06
2024-03-19,109958,19.114371214463702,3089911.43
2024-03-20,117153,19.05262519952541,3287856.37
2024-03-21,128661,19.178225569519903,3610805.9899999998
2024-03-22,114806,19.29454932669024,3237540.25
2024-03-23,119511,17.99413459848884,3051960.42
2024-03-24,99938,20.67204386719766,2920974.65
2024-03-25,91776,20.34972814243375,2722614.7
2024-03-26,110805,19.19297080456658,3107442.84
2024-03-27,119241,19.35065086673208,3363933.0
2024-03-28,130262,20.22651993674287,3760273.65
2024-03-29,117472,19.069162694088806,3239730.06
2024-03-30,110439,18.331839295900906,2864249.32
2024-03-31,96436,20.13982931685263,2730225.15
2024-04-01,92318,20.15189053055742,2716354.1
2024-04-02,129303,19.394282808596863,3603707.8
2024-04-03,137244,19.381594896680365,3794664.07
2024-04-04,135061,19.628211548855703,3832166.77
2024-04-05,132013,19.182904107928767,3653014.51
2024-04-06,129080,18.717501317012704,3390198.2
